Package,Version
sys-libs/ldb-1.1.26-r1,1.1.26-r1
app-arch/bzip2-1.0.6-r7,1.0.6-r7
dev-libs/ustr-1.0.4-r8,1.0.4-r8
net-libs/libmnl-1.0.3-r1,1.0.3-r1
dev-libs/openssl-1.0.2k-r2,1.0.2k-r2
dev-libs/libusb-1.0.19,1.0.19
sys-apps/gptfdisk-1.0.1,1.0.1
app-emulation/runc-1.0.0_rc2_p9,1.0.0_rc2_p9
app-admin/mayday-1.0.0,1.0.0
app-crypt/pinentry-0.9.5,0.9.5
net-libs/libmicrohttpd-0.9.49,0.9.49
sys-libs/tevent-0.9.28,0.9.28
dev-libs/userspace-rcu-0.9.1,0.9.1
dev-libs/libbsd-0.8.2,0.8.2
sys-libs/libcap-ng-0.7.7,0.7.7
sys-libs/libcap-ng-0.7.7,0.7.7
app-admin/flannel-wrapper-0.7.0-r2,0.7.0-r2
coreos-base/coreos-metadata-0.7.0-r1,0.7.0-r1
sys-fs/multipath-tools-0.6.2-r2,0.6.2-r2
app-emulation/actool-0.5.1-r1,0.5.1-r1
dev-db/etcd-0.4.9-r3,0.4.9-r3
coreos-base/update_engine-0.4.3,0.4.3
app-admin/locksmith-0.4.2,0.4.2
sys-block/thin-provisioning-tools-0.4.1,0.4.1
dev-libs/ding-libs-0.4.0,0.4.0
app-crypt/trousers-0.3.13-r2,0.3.13-r2
dev-libs/libaio-0.3.110,0.3.110
dev-cpp/glog-0.3.1,0.3.1
sys-fs/lsscsi-0.28,0.28
net-libs/libnfsidmap-0.24-r1,0.24-r1
app-emulation/containerd-0.2.5-r2,0.2.5-r2
net-libs/libtirpc-0.2.5-r1,0.2.5-r1
dev-libs/libverto-0.2.5-r1,0.2.5-r1
net-nds/rpcbind-0.2.3-r1,0.2.3-r1
sys-devel/gettext-0.19.4,0.19.4
dev-libs/elfutils-0.161,0.161
sys-auth/realmd-0.16.2-r1,0.16.2-r1
sys-auth/polkit-0.113-r3,0.113-r3
app-admin/fleet-0.11.8-r1,0.11.8-r1
dev-libs/dbus-glib-0.102,0.102
sys-apps/gentoo-functions-0.10,0.10
app-admin/sdnotify-proxy-0.1.0-r2,0.1.0-r2
app-crypt/go-tspi-0.1-r4,0.1-r4
app-admin/etcd-wrapper-0.0.4,0.0.4
coreos-base/coreos-au-key-0.0.2,0.0.2
app-admin/kubelet-wrapper-0.0.2,0.0.2
coreos-base/coretest-0.0.1-r19,0.0.1-r19
coreos-base/coreos-init-0.0.1-r139,0.0.1-r139
app-admin/toolbox-0.0.0-r10,0.0.0-r10
